tick,humans,zombies
801,9396,614
802,9396,614
803,9395,615
804,9392,618
805,9391,619
806,9390,620
807,9390,620
808,9390,620
809,9389,621
810,9388,622
811,9388,622
812,9387,623
813,9385,625
814,9385,625
815,9384,626
816,9384,626
817,9383,627
818,9383,627
819,9382,628
820,9380,630
821,9378,632
822,9375,635
823,9373,637
824,9373,637
825,9373,637
826,9371,639
827,9367,643
828,9367,643
829,9367,643
830,9366,644
831,9366,644
832,9365,645
833,9364,646
834,9363,647
835,9363,647
836,9362,648
837,9362,648
838,9361,649
839,9361,649
840,9359,651
841,9358,652
842,9357,653
843,9353,657
844,9352,658
845,9351,659
846,9350,660
847,9348,662
848,9347,663
849,9346,664
850,9346,664
851,9345,665
852,9344,666
853,9343,667
854,9343,667
855,9343,667
856,9343,667
857,9343,667
858,9340,670
859,9339,671
860,9338,672
861,9336,674
862,9336,674
863,9332,678
864,9332,678
865,9332,678
866,9332,678
867,9331,679
868,9331,679
869,9331,679
870,9328,682
871,9326,684
872,9324,686
873,9323,687
874,9322,688
875,9320,690
876,9317,693
877,9317,693
878,9317,693
879,9317,693
880,9317,693
881,9315,695
882,9312,698
883,9309,701
884,9309,701
885,9309,701
886,9306,704
887,9306,704
888,9305,705
889,9304,706
890,9303,707
891,9301,709
892,9300,710
893,9299,711
894,9297,713
895,9297,713
896,9296,714
897,9296,714
898,9296,714
899,9296,714
900,9295,715
901,9292,718
902,9291,719
903,9289,721
904,9289,721
905,9289,721
906,9287,723
907,9285,725
908,9285,725
909,9282,728
910,9282,728
911,9280,730
912,9280,730
913,9278,732
914,9277,733
915,9277,733
916,9277,733
917,9277,733
918,9277,733
919,9276,734
920,9276,734
921,9275,735
922,9275,735
923,9274,736
924,9272,738
925,9269,741
926,9266,744
927,9265,745
928,9263,747
929,9259,751
930,9258,752
931,9258,752
932,9255,755
933,9255,755
934,9255,755
935,9252,758
936,9249,761
937,9249,761
938,9246,764
939,9244,766
940,9244,766
941,9244,766
942,9238,772
943,9237,773
944,9236,774
945,9235,775
946,9234,776
947,9234,776
948,9233,777
949,9233,777
950,9232,778
951,9232,778
952,9232,778
953,9231,779
954,9229,781
955,9226,784
956,9226,784
957,9223,787
958,9222,788
959,9221,789
960,9220,790
961,9219,791
962,9219,791
963,9218,792
964,9218,792
965,9218,792
966,9217,793
967,9217,793
968,9216,794
969,9212,798
970,9212,798
971,9211,799
972,9211,799
973,9211,799
974,9211,799
975,9211,799
976,9211,799
977,9209,801
978,9208,802
979,9206,804
980,9206,804
981,9206,804
982,9206,804
983,9205,805
984,9204,806
985,9202,808
986,9201,809
987,9200,810
988,9197,813
989,9195,815
990,9193,817
991,9193,817
992,9193,817
993,9193,817
994,9191,819
995,9190,820
996,9187,823
997,9186,824
998,9186,824
999,9184,826
1000,9183,827
